Date,IBIT Close,BTC Close,NAV Estimate,Premium/Discount (bps),Cost (bps),Create Signal,Redeem Signal,Spread Captured (bps),P&L Per Trade (USD)
2024-08-08,33.8800,61710.14,36.3166,-670.94,13.01,false,true,657.93,89162.92
2024-08-09,34.6000,60880.11,35.8282,-342.79,12.86,false,true,329.93,45662.21
2024-08-12,33.6400,59354.52,34.9303,-369.41,13.06,false,true,356.35,47949.81
2024-08-13,34.6400,60609.57,35.6689,-288.47,12.86,false,true,275.62,38189.24
2024-08-14,33.5600,58737.27,34.5671,-291.34,13.08,false,true,278.27,37354.59
2024-08-15,32.5000,57560.10,33.8743,-405.71,13.31,false,true,392.40,51012.61
2024-08-16,34.0300,58894.11,34.6594,-181.59,12.98,false,true,168.61,22951.82
2024-08-19,33.6200,59493.45,35.0121,-397.61,13.06,false,true,384.54,51713.50
2024-08-20,33.9200,59012.79,34.7292,-233.01,13.00,false,true,220.01,29851.32
2024-08-21,35.1300,61175.19,36.0018,-242.16,12.76,false,true,229.40,32235.12
2024-08-22,34.3500,60381.91,35.5350,-333.47,12.91,false,true,320.55,44043.95
2024-08-23,36.2800,64094.36,37.7198,-381.70,12.55,false,true,369.15,53571.41
2024-08-26,36.0900,62880.66,37.0055,-247.39,12.58,false,true,234.81,33897.62
2024-08-27,35.3800,59504.13,35.0184,103.26,12.71,true,false,90.55,12814.49
2024-08-28,33.5200,59027.63,34.7380,-350.62,13.09,false,true,337.53,45256.08
2024-08-29,33.6900,59388.18,34.9502,-360.56,13.05,false,true,347.51,46830.30
2024-08-30,33.3700,59119.48,34.7920,-408.72,13.12,false,true,395.60,52805.25
2024-09-03,32.9800,57431.02,33.7984,-242.13,13.20,false,true,228.93,30200.40
2024-09-04,33.0400,57971.54,34.1165,-315.52,13.19,false,true,302.34,39956.73
2024-09-05,31.8500,56160.49,33.0506,-363.28,13.46,false,true,349.82,44566.85
2024-09-06,30.4100,53948.75,31.7490,-421.76,13.81,false,true,407.95,49622.56
2024-09-09,32.5100,57019.54,33.5562,-311.78,13.31,false,true,298.47,38813.12
2024-09-10,33.0000,57648.71,33.9265,-273.08,13.20,false,true,259.89,34304.89
2024-09-11,32.8000,57343.17,33.7467,-280.52,13.24,false,true,267.28,35067.06
2024-09-12,33.2500,58127.01,34.2080,-280.04,13.14,false,true,266.90,35497.11
2024-09-13,34.0400,60571.30,35.6464,-450.66,12.98,false,true,437.68,59594.31
2024-09-16,32.9800,58192.51,34.2465,-369.82,13.20,false,true,356.62,47044.95
2024-09-17,34.1000,60308.54,35.4918,-392.14,12.96,false,true,379.18,51720.16
2024-09-18,34.1500,61649.68,36.2811,-587.37,12.95,false,true,574.42,78465.71
2024-09-19,36.0100,62940.46,37.0407,-278.26,12.60,false,true,265.66,38266.00
2024-09-20,35.8000,63192.98,37.1893,-373.57,12.63,false,true,360.94,51686.52
2024-09-23,36.0400,63329.80,37.2698,-329.98,12.59,false,true,317.39,45754.34
2024-09-24,36.6400,64301.97,37.8419,-317.62,12.48,false,true,305.14,44721.16
2024-09-25,35.9700,63143.14,37.1600,-320.23,12.60,false,true,307.62,44261.08
2024-09-26,36.8400,65181.02,38.3593,-396.06,12.45,false,true,383.61,56529.47
2024-09-27,37.3900,65790.66,38.7180,-343.00,12.35,false,true,330.65,49452.21
2024-09-30,36.1300,63329.50,37.2696,-305.78,12.57,false,true,293.21,42374.41
2024-10-01,35.1300,60837.01,35.8028,-187.92,12.76,false,true,175.16,24612.98
2024-10-02,34.2400,60632.79,35.6826,-404.29,12.94,false,true,391.35,53599.68
2024-10-03,34.7200,60759.40,35.7571,-290.05,12.84,false,true,277.21,38498.43
2024-10-04,35.5200,62067.48,36.5269,-275.67,12.69,false,true,262.98,37364.46
2024-10-07,36.0600,62236.66,36.6265,-154.67,12.59,false,true,142.08,20493.91
2024-10-08,35.4000,62131.97,36.5649,-318.58,12.71,false,true,305.87,43311.33
2024-10-09,34.6800,60582.10,35.6528,-272.85,12.85,false,true,260.00,36067.31
2024-10-10,33.9500,60274.50,35.4718,-429.01,13.00,false,true,416.01,56494.15
2024-10-11,35.9400,62445.09,36.7492,-220.18,12.61,false,true,207.58,29841.18
2024-10-14,37.5700,66046.13,38.8684,-334.05,12.32,false,true,321.72,48348.69
2024-10-15,38.1700,67041.11,39.4539,-325.43,12.22,false,true,313.20,47819.99
2024-10-16,38.5800,67612.72,39.7903,-304.18,12.16,false,true,292.02,45064.47
2024-10-17,38.0500,67399.84,39.6650,-407.17,12.24,false,true,394.93,60108.21
2024-10-18,39.0700,68418.79,40.2647,-296.71,12.08,false,true,284.63,44482.48
2024-10-21,38.5700,67367.85,39.6462,-271.46,12.16,false,true,259.30,40004.60
2024-10-22,38.4100,67361.41,39.6424,-310.89,12.18,false,true,298.70,45892.72
2024-10-23,37.8100,66432.20,39.0956,-328.83,12.28,false,true,316.55,47874.93
2024-10-24,38.8700,68161.05,40.1130,-309.88,12.11,false,true,297.77,46297.38
2024-10-25,38.0100,66642.41,39.2193,-308.34,12.25,false,true,296.09,45018.27
2024-10-28,39.6700,69907.76,41.1410,-357.54,11.99,false,true,345.56,54832.87
2024-10-29,41.3300,72720.49,42.7963,-342.62,11.75,false,true,330.87,54699.33
2024-10-30,40.8800,72339.54,42.5721,-397.46,11.81,false,true,385.65,63061.79
2024-10-31,39.7800,70215.19,41.3219,-373.14,11.97,false,true,361.17,57469.51
2024-11-01,39.3700,69482.47,40.8907,-371.89,12.03,false,true,359.86,56670.31
2024-11-04,38.2500,67811.51,39.9073,-415.29,12.21,false,true,403.08,61671.52
2024-11-05,39.5100,69359.56,40.8184,-320.53,12.01,false,true,308.52,48758.38
2024-11-06,43.4000,75639.08,44.5139,-250.23,11.47,false,true,238.76,41448.17
2024-11-07,43.6000,75904.86,44.6703,-239.60,11.45,false,true,228.15,39789.16
2024-11-08,43.6900,76545.48,45.0473,-301.30,11.44,false,true,289.87,50657.14
2024-11-11,49.5700,88701.48,52.2011,-504.04,10.79,false,true,493.25,97801.17
2024-11-12,51.0500,87955.81,51.7623,-137.61,10.65,false,true,126.96,25925.15
2024-11-13,51.0400,90584.16,53.3091,-425.65,10.65,false,true,415.00,84725.80
2024-11-14,49.7300,87250.43,51.3472,-314.95,10.78,false,true,304.18,60506.74
2024-11-15,52.1300,91066.01,53.5927,-272.92,10.56,false,true,262.37,54708.90
2024-11-18,52.1300,90542.64,53.2847,-216.70,10.56,false,true,206.14,42984.69
2024-11-19,52.7000,92343.79,54.3447,-302.63,10.51,false,true,292.13,61580.27
2024-11-20,53.7200,94339.49,55.5191,-324.06,10.42,false,true,313.63,67393.74
2024-11-21,55.9000,98504.73,57.9704,-357.14,10.25,false,true,346.90,77565.98
2024-11-22,56.4900,98997.66,58.2605,-303.89,10.20,false,true,293.69,66361.22
2024-11-25,54.0200,93102.30,54.7910,-140.72,10.40,false,true,130.33,28160.88
2024-11-26,51.7000,91985.32,54.1337,-449.57,10.59,false,true,438.98,90780.31
2024-11-27,55.0300,95962.53,56.4743,-255.74,10.32,false,true,245.43,54023.56
2024-11-29,55.2100,97461.52,57.3565,-374.23,10.30,false,true,363.93,80370.12
2024-12-02,54.4800,95865.30,56.4171,-343.35,10.36,false,true,332.99,72565.11
2024-12-03,54.4600,96002.16,56.4976,-360.66,10.36,false,true,350.29,76308.16
2024-12-04,56.4200,98768.53,58.1256,-293.44,10.21,false,true,283.23,63919.34
2024-12-05,56.4000,96593.57,56.8457,-78.40,10.21,false,true,68.19,15383.04
2024-12-06,57.8000,99920.71,58.8037,-170.69,10.11,false,true,160.58,37125.39
2024-12-09,54.7300,97432.72,57.3395,-455.10,10.34,false,true,444.76,97366.32
2024-12-10,54.9000,96675.43,56.8938,-350.45,10.33,false,true,340.12,74690.84
2024-12-11,57.7200,101173.03,59.5407,-305.79,10.11,false,true,295.67,68265.31
2024-12-12,56.9200,100043.00,58.8757,-332.17,10.17,false,true,322.00,73312.08
2024-12-13,57.9100,101459.26,59.7091,-301.32,10.10,false,true,291.22,67457.17
2024-12-16,60.2200,106029.72,62.3989,-349.18,9.94,false,true,339.24,81716.11
2024-12-17,60.7300,106140.60,62.4641,-277.62,9.91,false,true,267.71,65031.73
2024-12-18,57.1800,100041.54,58.8748,-287.87,10.15,false,true,277.71,63518.30
2024-12-19,54.7200,97490.95,57.3738,-462.54,10.34,false,true,452.20,98977.73
2024-12-20,54.8100,97755.93,57.5297,-472.75,10.33,false,true,462.42,101380.10
2024-12-23,52.8700,94686.24,55.7232,-512.03,10.49,false,true,501.54,106065.17
2024-12-24,56.2300,98676.09,58.0712,-317.06,10.22,false,true,306.84,69014.69
2024-12-26,54.3000,95795.52,56.3760,-368.24,10.37,false,true,357.87,77729.08
2024-12-27,53.6800,94164.86,55.4164,-313.33,10.42,false,true,302.90,65039.72
2024-12-30,53.5500,92643.21,54.5209,-178.07,10.44,false,true,167.64,35907.73
2024-12-31,53.0500,93429.20,54.9834,-351.64,10.48,false,true,341.16,72394.18
2025-01-02,55.3700,96886.88,57.0183,-289.08,10.29,false,true,278.79,61746.14
2025-01-03,55.9600,98107.43,57.7366,-307.70,10.24,false,true,297.46,66583.29
